epoch,train_loss,val_loss,val_acc,val_auc,val_recall,val_precision,val_f1
1,0.33950099683943247,0.5275674904717339,0.804444432258606,0.8716889023780823,0.8700000047683716,0.8419354557991028,0.8557376861572266
2,0.3134173265525273,0.4779706192016602,0.8111110925674438,0.8745889067649841,0.800000011920929,0.9056603908538818,0.8495575189590454
3,0.30328193971088957,0.46941072675916884,0.804444432258606,0.8776888847351074,0.8100000023841858,0.8868613243103027,0.8466898798942566
4,0.27599078246525355,0.48652264065212675,0.8133333325386047,0.8787999749183655,0.8100000023841858,0.8999999761581421,0.8526315689086914
5,0.2816077401524498,0.5064737319946289,0.7888888716697693,0.8740333318710327,0.7633333206176758,0.9051383137702942,0.8282097578048706
6,0.29639339481081284,0.49821312798394096,0.7933333516120911,0.8714778423309326,0.7766666412353516,0.8996139168739319,0.8336314558982849
7,0.26052145237014407,0.518773210313585,0.7933333516120911,0.8738111257553101,0.800000011920929,0.8791208863258362,0.8376963138580322
8,0.2489226692631131,0.5118500476413302,0.8088889122009277,0.8753666281700134,0.8166666626930237,0.8876811861991882,0.8506944179534912
9,0.24690138215110416,0.5335532803005643,0.8155555725097656,0.87571120262146,0.8433333039283752,0.875432550907135,0.8590831756591797
10,0.2398144936845416,0.5239735158284505,0.8088889122009277,0.8761221766471863,0.8166666626930237,0.8876811861991882,0.8506944179534912
11,0.2268598569007147,0.525265630086263,0.8222222328186035,0.8765999674797058,0.8366666436195374,0.890070915222168,0.8625429272651672
