epoch,train_loss,val_loss,val_acc,val_auc,val_recall,val_precision,val_f1
1,0.3253322273776645,0.4788266330295139,0.8088889122009277,0.8763333559036255,0.8366666436195374,0.8715277910232544,0.853741466999054
2,0.30571665048599245,0.4696817058987088,0.7955555319786072,0.8771666884422302,0.800000011920929,0.8823529481887817,0.8391608595848083
3,0.2970562884353456,0.46918397691514757,0.800000011920929,0.8781888484954834,0.800000011920929,0.8888888955116272,0.8421052694320679
4,0.2859798558269228,0.4813404295179579,0.8066666722297668,0.8767222166061401,0.8166666626930237,0.8844765424728394,0.8492200970649719
5,0.28755329149109976,0.5014691246880425,0.800000011920929,0.8756555914878845,0.8233333230018616,0.8697183132171631,0.8458904027938843
6,0.289450371719542,0.501080067952474,0.8088889122009277,0.875166654586792,0.8399999737739563,0.8689655065536499,0.8542372584342957
7,0.2779636488074348,0.4796418211195204,0.7888888716697693,0.8755555152893066,0.7733333110809326,0.8957529067993164,0.8300536870956421
8,0.280019698597136,0.4788527552286784,0.7955555319786072,0.8766777515411377,0.7866666913032532,0.8939393758773804,0.8368794322013855
9,0.26792446885790144,0.49156681060791013,0.804444432258606,0.8762111663818359,0.8100000023841858,0.8868613243103027,0.8466898798942566
10,0.27523651997248333,0.4952401563856337,0.8133333325386047,0.8765666484832764,0.8266666531562805,0.8857142925262451,0.8551723957061768
11,0.26734115191868374,0.49444896274142797,0.8088889122009277,0.8766555786132812,0.8166666626930237,0.8876811861991882,0.8506944179534912
