epoch,train_loss,val_loss,val_acc,val_auc,val_recall,val_precision,val_f1
1,0.3207966960044134,0.48522635565863714,0.8066666722297668,0.8759111166000366,0.8266666531562805,0.8763250708580017,0.8507718443870544
2,0.3009443512417021,0.4652099439832899,0.8088889122009277,0.877644419670105,0.8133333325386047,0.8905109763145447,0.8501741886138916
3,0.2953858967054458,0.5164151128133138,0.800000011920929,0.8738999366760254,0.846666693687439,0.8523489832878113,0.8494983315467834
4,0.29100496462413245,0.4774570549858941,0.8088889122009277,0.8770555257797241,0.8100000023841858,0.8933823704719543,0.8496503233909607
5,0.284758281934829,0.4944615681966146,0.8155555725097656,0.8757222294807434,0.8333333134651184,0.8833922147750854,0.8576329350471497
6,0.28831168759436837,0.48369676378038196,0.8133333325386047,0.8777777552604675,0.8299999833106995,0.8829787373542786,0.8556700944900513
7,0.28180188746679397,0.47511791229248046,0.8155555725097656,0.878000020980835,0.8199999928474426,0.8945454359054565,0.8556521534919739
8,0.2814795850572132,0.4774215104844835,0.8222222328186035,0.8781445026397705,0.8299999833106995,0.8956834673881531,0.8615916967391968
9,0.2731496238708496,0.49098986307779946,0.8133333325386047,0.8774000406265259,0.8299999833106995,0.8829787373542786,0.8556700944900513
10,0.2784574906031291,0.4871315341525608,0.8155555725097656,0.8778555393218994,0.8299999833106995,0.8861209750175476,0.8571428656578064
