exp_name,num_frames,num_dct,best_epoch,val_loss,val_acc,val_auc,val_recall,val_precision,val_f1
ft_full_model_bs32_lr5e-5_wd1e-3,50,256,3,0.4836902448866102,0.7888888716697693,0.8715221881866455,0.8066666722297668,0.8673835396766663,0.8359240293502808
ft_full_model_bs32_lr5e-5_wd1e-4,50,256,3,0.48545686721801756,0.7888888716697693,0.8703111410140991,0.8033333420753479,0.8700361251831055,0.835355281829834
ft_full_model_bs32_lr1e-5_wd1e-3,50,256,2,0.46947932773166234,0.800000011920929,0.8778777718544006,0.79666668176651,0.891791045665741,0.841549277305603
ft_full_model_bs32_lr1e-5_wd1e-4,50,256,2,0.46947932773166234,0.800000011920929,0.8778777718544006,0.79666668176651,0.891791045665741,0.841549277305603
ft_full_model_bs64_lr5e-5_wd1e-3,50,256,1,0.4581711705525716,0.7888888716697693,0.8764333724975586,0.7799999713897705,0.8897338509559631,0.8312610983848572
ft_full_model_bs64_lr5e-5_wd1e-4,50,256,1,0.4581786558363173,0.7888888716697693,0.8764222860336304,0.7799999713897705,0.8897338509559631,0.8312610983848572
ft_full_model_bs64_lr1e-5_wd1e-3,50,256,3,0.46918397691514757,0.800000011920929,0.8781888484954834,0.800000011920929,0.8888888955116272,0.8421052694320679
ft_full_model_bs64_lr1e-5_wd1e-4,50,256,3,0.46918397691514757,0.800000011920929,0.8781888484954834,0.800000011920929,0.8888888955116272,0.8421052694320679
ft_spatial_spectral_bs32_lr5e-5_wd1e-3,50,256,5,0.4913330947028266,0.8022222518920898,0.8720444440841675,0.8033333420753479,0.8892989158630371,0.8441330790519714
ft_spatial_spectral_bs32_lr5e-5_wd1e-4,50,256,5,0.480153071085612,0.8133333325386047,0.8744000196456909,0.8133333325386047,0.8970588445663452,0.8531468510627747
ft_spatial_spectral_bs32_lr1e-5_wd1e-3,50,256,2,0.4730800607469347,0.8111110925674438,0.8761555552482605,0.8199999928474426,0.8880866169929504,0.8526862859725952
ft_spatial_spectral_bs32_lr1e-5_wd1e-4,50,256,2,0.4730800607469347,0.8111110925674438,0.8761555552482605,0.8199999928474426,0.8880866169929504,0.8526862859725952
ft_spatial_spectral_bs64_lr5e-5_wd1e-3,50,256,3,0.46941072675916884,0.804444432258606,0.8776888847351074,0.8100000023841858,0.8868613243103027,0.8466898798942566
ft_spatial_spectral_bs64_lr5e-5_wd1e-4,50,256,3,0.46933820512559676,0.804444432258606,0.8777555227279663,0.8100000023841858,0.8868613243103027,0.8466898798942566
ft_spatial_spectral_bs64_lr1e-5_wd1e-3,50,256,2,0.4652099439832899,0.8088889122009277,0.877644419670105,0.8133333325386047,0.8905109763145447,0.8501741886138916
ft_spatial_spectral_bs64_lr1e-5_wd1e-4,50,256,2,0.4652099439832899,0.8088889122009277,0.877644419670105,0.8133333325386047,0.8905109763145447,0.8501741886138916
